ActualFlightTime,ActualTotalFuel,FLownPassengers,BagsCount,FlightBagsWeight
166,7090,174,93,1210
179,8131,179,88,1140
40,2080,177,47,611
39,1720,137,6,80
64,3008,174,14,180
38,1760,169,80,1040
115,5010,186,66,860
61,2810,173,19,250
63,2644,160,27,350
125,5560,161,52,680
97,4200,188,63,820
97,4073,174,38,430
134,5900,178,27,360
77,3280,181,53,689
146,5890,166,42,540
109,4690,181,63,820
65,2780,127,31,400
125,5610,184,114,1480
30,1350,184,58,750
174,7886,171,77,1010
79,3637,175,38,490
101,4170,187,68,880
74,3390,167,26,340
34,1640,163,33,429
76,3410,167,25,325
72,3660,159,40,520
105,4580,173,31,410
101,4120,173,38,490
162,7090,179,64,830
122,5520,176,38,490
136,5990,181,61,790
140,6120,172,71,920
116,5060,174,52,680
145,5790,182,89,1160
153,6290,173,135,1750
174,7310,185,38,490
104,4500,162,30,390
84,3820,179,60,780
57,2510,168,17,220
64,3010,173,59,770
159,6830,179,31,400
155,6280,178,62,810
68,3283,159,42,546
76,3690,176,70,910
126,5150,173,25,330
107,4810,180,32,420
74,3300,108,23,300
122,4910,166,44,580
119,4900,175,56,730
99,4360,172,32,420
150,6889,181,111,1440
81,3640,178,36,470
68,2710,176,39,510
70,2960,168,35,460
92,3765,153,26,340
83,3430,168,58,750
105,4440,161,79,660
103,4280,178,21,307
156,6560,187,55,720
75,3230,136,32,473
98,4442,171,40,520
132,5790,178,81,1050
97,4110,179,89,1170
95,4014,169,55,720
98,4040,183,38,490
51,2380,151,11,140
118,5297,175,64,830
115,5160,183,53,690
120,5297,174,103,1340
60,2700,168,31,400
135,6040,185,75,970
135,6149,186,95,1240
130,5180,141,18,230
109,5074,181,91,1180
179,7800,177,38,490
62,2860,168,111,1050
153,6750,176,84,1090
155,6800,182,134,1749
232,10231,179,74,960
156,10820,133,81,1050
156,6372,177,31,410
88,3880,177,48,620
151,6320,176,116,1510
57,2570,167,12,160
73,3070,176,27,350
131,5973,176,63,820
183,7995,173,78,1010
73,3250,167,16,220
70,3007,168,74,550
73,3347,178,51,660
130,5810,172,72,940
153,6354,184,73,950
224,9720,170,99,1290
144,6010,173,53,690
59,2851,164,22,290
64,3070,178,62,810
42,1840,167,15,200
42,2100,168,20,260
49,2410,178,41,530
138,5841,165,49,630
74,3180,145,39,510
45,2260,163,17,220
90,3230,147,3,40
39,1840,143,3,40
77,3550,178,13,170
145,6535,184,113,1470
63,2916,167,45,590
93,4353,181,103,1340
133,5914,180,79,1030
74,3360,177,52,680
60,2800,177,22,290
132,5620,171,42,540
95,4240,166,11,140
133,5570,164,53,690
114,5115,153,53,480
53,2360,178,30,390
105,4830,177,60,780
35,1640,161,39,510
115,5300,182,110,1430
129,6000,184,103,1340
114,5202,157,23,300
79,3750,174,45,490
74,3324,134,21,270
144,6070,175,35,450
242,10480,170,77,1000
256,11111,181,38,490
177,7470,184,58,750
79,3360,180,36,470
143,5800,162,48,620
181,7380,172,56,720
78,3460,184,50,650
111,4830,184,65,840
133,6010,171,64,860
130,5383,170,38,490
102,4000,157,28,370
140,6140,186,130,1710
97,4110,178,71,920
110,4750,163,80,1040
255,11537,180,121,1570
81,3410,161,44,570
71,3217,178,41,530
33,1570,183,41,530
98,4510,166,80,1040
79,3620,167,39,510
103,4190,168,36,470
139,6159,173,61,790
156,7390,189,142,1849
154,6780,170,73,950
74,2920,137,38,490
39,1760,126,19,250
135,6140,181,88,1144
147,6230,180,123,490
114,4950,188,119,1550
158,6650,167,34,440
203,9000,176,95,1240
124,5640,180,57,741
102,4690,185,40,520
56,2690,175,19,250
116,5200,171,94,1220
97,4230,182,49,640
81,3420,134,41,530
74,3170,167,54,710
77,3550,182,40,530
154,7300,172,89,1150
180,8470,173,67,870
78,3880,189,38,490
144,6363,185,101,1310
244,10680,186,109,1419
64,2670,134,28,360
76,3300,178,43,560
73,3250,173,25,320
234,10245,176,87,1130
129,5330,181,80,1040
107,4690,184,47,610
131,5090,177,72,560
127,5140,179,54,700
123,5624,174,75,980
116,4890,183,24,310
127,5560,172,21,270
146,6390,185,77,1000
112,5230,185,37,480
132,5780,177,87,1130
118,5190,184,84,1090
91,3936,172,36,470
116,5160,176,49,640
53,2530,167,25,320
81,3310,146,38,490
89,4140,182,74,960
107,4950,174,118,1534
222,9510,173,88,1140
123,5240,180,83,1080
99,4490,181,34,450
94,3107,184,47,490
102,4080,123,41,530
79,3530,182,33,430
106,4616,168,47,610
61,2644,136,38,490
76,3391,177,68,880
125,5370,172,53,690
114,4570,172,61,790
133,5710,184,116,1510
143,6540,171,63,820
113,4820,168,48,620
243,10053,187,72,940
65,3250,153,20,260
103,4430,173,59,770
120,5340,180,54,700
125,5380,177,86,1120
139,6310,178,63,820
40,1760,85,9,120
93,4449,184,42,550
122,5420,173,31,400
145,6490,171,45,580
60,2910,163,42,550
79,3830,172,69,900
72,3120,179,64,830
62,3100,169,14,180
117,4880,176,38,490
107,4630,165,29,380
123,5600,176,126,1640
150,6200,178,69,900
147,5840,175,74,960
94,4100,171,54,700
210,9000,175,98,1270
212,9088,170,97,1260
207,9050,179,85,1110
101,4180,156,55,720
72,3050,155,16,210
55,2380,172,38,490
56,2317,159,38,490
47,2530,180,14,180
72,3140,178,39,507
101,4630,172,67,870
46,2300,182,38,490
104,4660,171,41,530
66,2970,170,14,180
71,2910,158,28,90
53,2530,169,32,420
94,4210,163,70,910
45,2120,164,32,420
64,2890,164,38,490
127,4910,172,59,770
96,3960,146,53,500
38,1560,163,56,490
41,1720,163,40,520
34,1590,162,21,270
116,4640,177,28,360
109,4960,179,80,1040
175,7710,177,128,1670
40,1896,163,18,230
108,4712,181,38,490
65,2740,150,28,360
96,4240,148,36,470
43,2160,155,11,143
39,2040,166,36,470
40,1840,168,74,960
62,2750,165,29,380
80,3600,171,38,490
177,7570,174,89,1160
36,1800,161,16,210
261,11619,162,112,1460
130,5710,177,71,920
43,2270,160,38,500
39,2370,156,21,270
42,2240,162,36,470
90,3270,79,27,350
97,3877,147,21,280
142,6122,177,100,1299
64,3070,171,34,440
88,3881,166,38,41
157,7030,170,95,1220
221,9694,176,110,1430
149,6490,187,85,1120
85,4000,137,34,440
102,4520,182,44,570
90,4090,176,103,1339
131,5870,176,65,850
73,3260,176,61,800
159,6950,183,30,390
125,5406,185,92,1200
139,5810,182,42,550
31,1650,156,7,90
138,5620,170,76,530
163,7070,175,33,430
37,2000,166,17,220
121,5170,166,83,1080
108,4300,169,32,420
116,5106,171,65,490
119,5350,176,68,880
157,6550,180,89,1160
163,7064,183,38,490
103,4390,158,27,349
133,5830,172,58,750
141,6140,169,29,380
216,9780,172,71,920
227,10004,186,85,1100
204,8440,182,129,1670
116,5080,158,41,530
145,6308,176,40,540
240,11079,182,110,1430
102,4270,177,44,614
97,4145,159,38,42
84,3480,175,29,380
126,5530,140,21,270
123,5210,182,55,720
79,3260,162,53,690
168,7340,184,97,1260
128,5240,172,38,490
108,4780,179,31,400
133,5968,177,52,670
148,6100,179,66,860
106,4666,136,25,320
46,2070,145,23,300
55,2380,188,27,350
142,5691,173,51,660
231,10140,172,89,1140
128,5050,176,81,1050
109,4930,178,101,1310
77,3451,181,38,490
84,3710,169,73,520
85,3498,154,31,410
231,10270,182,74,960
133,6420,166,83,1080
48,2160,168,12,160
132,6030,173,38,490
150,6780,172,100,1310
145,5800,158,77,1000
61,2750,155,15,200
58,2590,180,7,90
247,11012,180,101,1319
147,6350,181,108,1400
155,6590,183,75,980
281,11350,182,44,570
78,3410,179,39,500
129,5664,173,73,950
100,4308,174,32,410
94,3890,173,34,440
134,5680,176,41,540
160,6907,170,88,1140
147,5995,173,38,490
61,2860,185,38,490
55,2710,188,52,680
70,3240,182,16,210
53,2700,186,30,390
47,2260,178,22,290
45,2270,177,37,480
150,6460,170,58,750
160,6810,169,105,1359
54,2380,160,38,490
118,4390,169,40,520
33,1530,140,4,50
73,3370,161,32,420
156,6820,177,78,1010
80,3587,180,28,360
76,3528,165,38,490
194,8560,171,33,430
47,2250,167,14,180
127,5764,184,73,950
178,7890,164,84,1090
143,6060,181,87,1130
132,5570,173,68,880
73,3320,161,36,429
109,4640,168,71,919
102,4530,174,59,760
147,6170,171,36,470
92,4100,165,41,530
77,3474,163,39,510
104,4320,188,73,360
126,5360,185,55,720
131,5984,174,61,790
142,6500,181,106,1380
81,3600,180,32,410
34,1740,187,12,160
72,3590,173,33,430
86,3680,168,14,180
193,8100,173,33,430
74,3310,187,23,300
107,4750,177,41,540
34,1860,155,4,50
36,1830,158,11,140
93,4190,156,26,340
89,3870,171,41,530
164,5961,179,101,1300
65,3350,174,19,250
79,3743,176,38,490
117,4970,187,18,230
138,6250,184,65,840
156,7050,188,158,2079
148,6390,178,99,1287
161,7210,177,62,810
83,4055,181,27,350
40,1900,155,22,290
119,5100,174,74,960
151,6685,181,110,1430
160,6930,167,55,720
234,10270,178,128,1664
107,4360,170,21,490
87,3990,185,43,560
86,3800,173,23,300
57,2470,173,31,400
120,5400,180,84,1080
116,5140,165,72,940
66,2950,169,49,640
77,3260,155,8,100
104,4460,174,38,490
142,5980,183,85,1190
141,6110,169,81,1050
129,5880,166,60,780
97,4240,160,113,1469
81,3700,167,62,390
76,3206,164,8,100
153,6762,180,100,1300
143,6300,179,57,740
103,4190,160,53,690
128,5150,173,45,590
152,6960,174,43,560
129,6250,187,87,1130
116,4594,123,47,610
107,4512,180,53,690
132,5830,178,53,690
84,3590,177,11,140
243,10220,189,95,1230
90,3990,181,49,640
73,3340,173,33,430
165,6800,183,90,1170
76,3590,177,44,570
127,5890,180,84,1090
58,2510,154,26,340
117,4800,180,128,1160
127,5360,165,67,870
135,5940,177,38,490
231,9678,181,73,950
130,5709,175,44,580
60,2790,117,29,380
62,2820,164,28,360
108,4649,162,42,540
112,4990,158,38,490
137,6400,182,107,1390
112,4490,170,52,669
107,4790,176,25,320
151,6400,180,106,1380
111,5170,175,75,980
78,3467,176,58,760
107,4800,168,102,1326
40,1892,136,19,240
78,3456,175,36,470
133,5537,178,75,980
166,7438,178,82,1070
137,5973,132,51,660
152,6850,179,79,1027
121,5690,182,65,850
144,6281,176,117,1500
99,4050,174,27,350
139,5873,169,57,740
104,4470,180,46,600
115,5000,178,11,140
214,9270,183,103,1340
106,4590,175,54,700
156,6650,166,54,700
86,3791,171,43,560
59,2750,178,29,380
46,1990,173,38,490
231,8095,173,38,490
103,4250,165,35,460
162,7080,187,149,1950
59,3120,165,48,624
48,2540,175,38,490
62,2750,176,41,533
71,3080,175,26,340
106,4730,180,70,910
59,2671,184,20,260
67,2980,178,27,350
54,2560,182,21,270
58,2420,177,35,455
50,2200,173,29,380
111,4880,166,38,490
50,2230,164,36,468
69,2889,158,52,580
40,1830,178,28,370
37,1755,181,48,624
32,1540,138,13,170
42,1870,159,25,325
180,7804,159,51,470
250,11070,182,97,1260
43,1810,152,49,637
44,1909,142,10,130
73,3250,153,37,480
96,4640,163,22,290
100,4610,182,56,730
100,3838,135,29,377
59,2930,174,15,200
62,2860,160,38,490
87,3770,181,22,290
104,4603,179,5,70
163,7301,183,90,1170
33,1600,166,14,180
150,6100,185,49,640
145,6209,175,77,1000
124,5820,186,101,1310
217,8940,183,111,1440
129,5720,174,110,1430
118,5061,171,48,620
72,3550,167,43,560
78,3450,160,31,400
131,5441,185,28,370
29,1480,187,100,1300
116,5052,174,55,710
57,2616,167,38,490
173,7630,167,87,1130
106,4550,186,84,1090
33,1550,111,38,490
114,4660,179,58,760
100,4350,178,56,730
154,6330,184,141,1950
142,6140,175,103,1339
136,5940,171,85,1105
100,4599,179,85,1242
115,5060,171,61,790
156,6550,174,43,560
87,4000,172,41,530
170,7230,180,96,1250
58,2660,185,38,490
186,7840,187,131,490
66,2900,169,52,310
146,6620,182,38,490
146,6472,178,93,1210
123,5580,181,92,1196
202,8830,176,71,920
172,7516,182,99,1290
111,4530,160,40,520
56,2410,180,11,140
97,4400,185,123,1600
129,5450,163,38,490
110,4860,177,38,490
206,8821,178,127,1650
157,7020,182,84,1090
216,9423,183,86,1120
204,8900,181,38,490
78,3374,176,21,270
138,6020,171,69,900
156,6948,170,47,609
115,4680,174,84,1090
144,6430,186,67,870
137,5586,174,54,700
191,8567,185,100,1300
122,5260,180,40,568
117,4860,174,78,1010
51,2640,173,12,160
132,5480,177,66,860
220,9941,162,94,1220
114,5070,177,62,800
104,4900,164,38,500
101,4310,175,41,530
158,6810,170,64,830
161,7025,175,103,1340
76,3596,181,50,650
94,4394,172,60,780
46,2100,174,41,530
65,2800,183,72,940
141,6303,173,38,500
194,8750,179,63,820
130,5040,153,25,320
129,5480,159,45,590
92,3700,172,61,790
90,3920,172,75,980
74,3130,135,31,410
71,3040,174,23,300
115,4990,167,122,1590
111,5100,175,57,740
322,13559,185,59,769
68,3230,178,107,1400
88,3940,183,29,380
142,5920,182,38,490
112,4600,155,71,920
233,10210,186,102,1330
177,7569,163,41,530
69,3010,174,48,620
116,4760,173,94,1220
131,5590,187,38,490
76,3410,164,44,570
53,2600,177,26,340
96,3600,113,41,330
278,12351,179,67,869
43,2300,178,26,340
64,3500,184,60,780
95,4250,176,26,340
128,5510,180,70,910
79,3540,179,49,640
155,5700,96,53,690
81,3670,184,25,330
139,6050,181,91,1183
128,5660,174,43,560
113,4660,170,46,600
47,2140,169,26,340
103,4359,165,62,810
74,3306,181,66,860
69,3130,178,50,650
38,1750,178,64,832
36,1680,140,26,338
132,5390,179,82,1060
125,5280,164,45,590
91,4050,181,36,470
72,3420,180,45,580
165,6930,177,122,1590
153,6567,180,118,1530
73,3050,117,30,340
41,2440,171,17,230
60,2640,168,38,490
78,3800,162,36,470
153,6907,183,135,1340
79,3540,179,69,350
93,4220,168,23,300
105,4900,176,69,900
78,3690,179,67,870
131,6095,176,80,1040
78,3500,184,83,1080
92,3886,178,90,660
96,4400,162,25,330
95,4190,183,40,520
70,3130,177,33,430
81,3680,178,64,830
79,3903,171,2,30
75,3084,166,50,650
144,6453,181,100,1300
147,6594,183,124,1612
160,7010,174,76,990
47,2350,153,3,40
55,2460,162,15,200
234,10670,189,136,1768
231,10644,175,98,1270
155,6947,179,177,2299
30,1538,158,38,490
28,1430,176,29,380
127,5310,167,69,899
129,5760,178,33,429
157,6550,183,84,1090
129,5480,174,48,690
86,3800,179,36,470
89,3620,179,24,310
79,3660,178,40,520
117,5429,178,72,940
62,2930,150,29,380
57,2610,164,27,350
125,5250,173,44,580
84,3730,184,49,640
83,3970,122,38,490
87,3780,156,38,490
92,4040,178,86,1120
187,8360,184,86,1120
175,7480,162,95,1310
92,3871,181,64,832
126,5455,182,103,1340
101,4490,174,93,1250
132,5570,182,62,810
127,5300,171,45,590
114,5180,184,61,800
80,3460,183,58,750
53,2310,181,30,390
56,2500,159,38,490
80,3764,183,51,660
100,4540,178,72,940
211,8739,158,74,960
109,4840,183,104,1500
236,10489,181,118,1540
75,3370,169,74,950
133,5859,148,62,610
201,8664,186,103,1320
70,3280,176,32,420
91,3470,167,47,610
68,2900,129,43,560
171,7270,166,61,790
91,3880,185,61,790
134,6009,180,79,1040
152,6900,184,126,1640
184,8230,186,86,1120
198,8930,177,96,1250
53,2420,176,54,700
70,3340,178,41,530
134,6010,183,71,920
173,7640,180,52,680
98,4040,136,21,270
108,4870,186,57,740
75,3480,177,47,610
132,5840,171,62,680
126,5870,179,69,900
41,2000,148,26,340
113,5030,181,82,1070
242,10540,184,85,1110
181,7950,178,62,810
139,6050,168,65,590
106,4826,171,28,360
112,5130,174,50,650
109,4790,178,51,660
112,4540,161,56,730
101,4217,180,44,570
132,6010,181,45,590
111,4980,177,32,420
66,2790,149,42,550
108,4530,163,53,690
77,3450,173,38,490
51,2230,147,21,270
59,2750,166,26,340
125,5860,174,93,1210
95,4050,170,33,430
88,4300,178,62,810
84,3740,161,30,390
42,1960,164,5,70
13,600,173,38,490
65,2853,178,27,360
133,5682,147,105,1370
116,5100,178,38,490
172,7520,180,84,1090
146,6472,179,74,960
110,4780,171,55,720
89,3780,184,44,570
74,3400,156,36,470
163,7116,175,71,490
58,2850,171,8,112
54,2570,169,30,390
80,3550,160,47,350
137,6149,182,38,490
148,6370,184,67,870
49,2400,168,52,676
56,2449,113,5,65
97,4480,184,74,960
63,2530,168,38,490
29,1500,167,38,490
29,1480,136,116,1508
42,1910,175,68,884
162,6930,151,61,790
97,3800,171,52,680
100,3850,160,44,570
109,4708,175,29,380
70,2950,128,30,400
59,2857,177,27,350
62,3040,177,38,500
139,6172,172,38,490
238,10300,177,115,1500
270,11841,188,144,1869
122,4740,174,58,240
81,3530,182,42,540
130,5830,181,130,1690
62,2680,172,38,490
179,8000,178,66,860
134,5490,151,38,490
69,3347,179,93,1210
80,3480,166,25,330
90,3433,115,42,550
28,1450,155,20,260
134,5900,174,116,1510
35,1730,166,7,90
125,5200,170,38,490
156,6480,180,75,975
133,5850,170,38,55
100,4195,157,59,770
170,6700,172,51,670
150,6458,173,46,600
104,4590,169,88,1144
85,3900,179,35,460
60,2750,180,19,250
156,6726,177,108,1400
164,7000,179,27,350
140,6030,185,89,1160
146,6680,189,92,1200
156,7170,185,109,1420
105,4360,175,68,880
36,1700,179,18,230
159,6834,174,38,490
128,5870,166,34,440
81,3161,62,21,280
134,5855,174,115,1500
135,6030,183,119,1550
136,5669,177,82,1070
94,4170,178,28,360
192,8190,176,52,680
193,8430,187,97,1260
105,4540,171,39,510
131,5537,169,54,700
96,4050,150,34,350
144,6360,171,86,1120
51,2470,164,35,460
98,4000,163,12,160
104,4520,173,37,480
148,6625,184,88,1319
135,5920,185,66,860
101,4200,151,24,366
103,4330,183,46,683
138,5600,183,41,530
66,3270,177,27,350
125,5267,179,37,480
135,6000,177,52,680
66,3130,169,42,546
71,3160,172,19,250
237,10730,179,38,490
93,3720,116,38,490
105,4470,159,32,410
122,5580,178,24,310
139,6108,175,36,470
226,9890,170,94,1220
182,8231,184,105,1360
149,6702,189,144,1880
70,3230,176,50,650
101,4390,182,36,470
72,3110,181,38,490
120,5160,169,34,440
64,3311,174,38,490
86,3519,174,27,360
144,6330,164,84,1100
151,6661,180,92,1190
119,5020,177,38,490
97,4370,175,16,210
93,3830,163,38,490
95,4080,170,47,620
82,3730,170,37,481
60,2700,172,15,200
72,3560,182,91,1180
67,3170,181,11,140
58,2620,180,3,39
65,2640,183,26,340
125,5340,166,56,730
94,4170,178,77,1000
157,7020,178,99,1290
102,4350,173,67,870
146,6141,169,33,430
151,6940,178,106,1379
84,3780,174,42,540
70,3248,150,29,380
87,4050,180,37,480
96,4530,173,45,590
66,3190,182,26,340
112,4800,183,115,1500
60,2810,181,30,390
87,3690,169,37,490
74,3330,175,33,430
152,6454,180,92,1199
82,3315,131,24,320
153,6380,173,69,900
150,6720,173,94,1220
156,6540,181,108,1400
136,6060,171,91,1180
73,3320,178,43,560
51,2440,177,20,260
106,5030,183,54,700
106,4750,173,37,480
138,6213,179,55,720
146,6680,187,73,950
68,3090,161,28,370
146,6460,176,76,1000
127,5380,176,62,810
161,6884,179,38,490
130,5500,174,24,210
137,5430,180,132,1720
106,4217,176,53,690
301,12708,179,79,1040
228,9600,134,82,1070
136,6290,185,96,1250
76,3540,180,77,1010
24,1450,168,15,200
125,5340,163,83,490
145,6380,171,90,770
116,4871,176,110,1430
94,4231,167,63,820
225,9470,175,115,1500
206,8738,174,107,1400
143,6560,182,61,790
78,3640,173,64,830
82,3710,177,38,490
146,6330,175,44,570
71,2850,173,41,530
92,3700,184,39,510
55,2650,145,9,110
149,6560,176,139,1807
46,1950,171,17,220
101,4385,166,39,510
225,9870,180,80,490
178,8064,183,38,49
102,4410,173,71,920
132,5619,186,130,1690
99,4450,183,54,700
150,6570,167,63,819
82,3460,179,19,250
153,6790,174,138,1799
63,2720,169,17,220
126,5560,179,73,950
127,5750,177,50,650
185,8260,173,108,1400
177,7837,181,113,1470
72,3165,168,12,160
141,6390,180,107,1391
153,6998,183,60,780
86,3900,183,46,600
168,6840,178,49,640
111,4940,173,44,570
81,3660,163,55,440
75,3290,167,27,350
152,6280,174,38,490
146,6730,180,94,1130
72,3500,174,38,490
39,2010,176,13,170
152,6560,172,79,1030
148,6621,178,71,930
141,6245,175,23,300
111,4720,164,61,790
117,4950,173,33,430
110,4500,179,26,340
74,3150,175,32,420
103,4431,185,110,1430
195,8550,184,108,1410
188,8249,180,92,1190
169,7190,172,31,400
57,2770,176,20,260
53,2540,175,38,490
79,3400,110,22,290
159,6975,179,75,980
97,4172,174,52,680
69,3030,176,40,520
134,5814,172,57,740
269,10900,181,83,1079
42,1840,172,47,610
111,5440,189,122,1589
160,7102,184,52,680
80,3520,178,32,420
152,6120,179,92,1200
54,2720,158,23,300
54,2572,156,21,270
94,4500,170,66,860
111,5011,179,83,1080
83,3743,175,24,320
189,7823,177,93,1210
188,7700,182,82,1070
112,4780,176,76,990
146,6240,165,85,1105
43,1990,175,20,260
65,3079,165,26,340
128,5465,181,48,624
125,5796,170,47,620
116,5360,176,26,340
60,2910,182,23,300
45,2380,173,39,650
112,4440,165,41,530
96,4040,175,28,360
57,2710,173,25,330
70,3140,174,44,570
107,4720,171,51,660
114,5152,182,95,1240
164,6620,185,109,1420
138,6040,176,96,490
88,3710,174,59,770
48,2260,173,26,340
76,3340,182,43,560
55,2590,184,28,364
59,2800,180,40,520
35,1470,173,38,490
37,1790,174,5,70
65,3180,159,60,780
71,3101,151,20,260
79,3447,170,84,690
122,5551,171,65,850
88,3930,178,66,860
39,1930,167,27,351
56,2599,170,31,451
104,4990,168,31,400
50,2304,159,20,260
107,4494,144,32,300
50,2540,165,7,90
51,2220,180,32,420
43,2199,164,12,156
89,4060,170,80,1132
84,3320,155,38,490
37,1846,104,4,50
44,1890,162,30,390
41,2040,171,46,600
112,5080,171,70,910
109,5000,168,68,880
109,4760,175,38,490
252,11085,179,101,1310
41,2141,162,20,260
103,4303,174,59,770
103,3900,174,68,880
94,4263,173,38,490
98,4480,170,62,810
164,6900,178,44,570
43,2000,163,10,130
177,7677,176,53,690
118,5190,180,46,600
130,5770,177,115,1495
61,2636,161,38,490
59,2560,182,38,490
176,7175,176,38,490
126,5580,184,108,1410
105,4700,181,33,430
78,3751,182,81,1060
131,5750,183,40,520
183,7130,175,70,910
128,5080,147,29,380
132,6050,180,52,300
112,4970,182,41,545
133,5880,167,39,510
176,7300,172,83,1080
35,1564,164,19,247
86,3630,181,38,490
79,3292,167,54,700
32,1480,167,14,180
138,5650,177,31,400
135,5330,182,38,490
144,6240,178,56,730
162,6717,183,92,1200
124,5700,172,68,884
